nazwa;podmiot;bazyl;kod_kreskowy;klasyfikacja
NEOMYCINUM;POLFA TARCHOMIN;006265;05909994369115;J01GB
NEOMYCINUM TZF;POLFA TARCHOMIN;006266;05909990085118;J01GB
OFTAN TIMOLOL;SANTEN;006555;05909990185153;S01ED
OXY-10;MENTHOLATUM;006742;05909990250417;D10AE
PARADENTOSOL;ELANDA;006930;05909990046218;A01AD
PERSANTIN;BOEHRINGER INGELHEIM;007089;05909990023615;B01AC
RIFAMAZID 150 MG + 100 MG;POLFA TARCHOMIN;007960;05909990086115;J04AM
SEFRIL;POLFA TARCHOMIN;008314;05909990057016;J01DB
MINERAVIT Q10;BIOMEDIPHARM;008812;05903240187058;A11AA
GLUCOSUM 20% FRESENIUS;FRESENIUS KABI POLSKA;003704;05909990250066;B05BA
GLUCOSUM 5% FRESENIUS;FRESENIUS KABI POLSKA;003720;05909990249084;B05BA
HEPAREGEN;PHARMASWISS;003927;05909990029327;A05BA
HOSPISEPT;LYSOFORM;004113;05909990030873;D08AX
HOSPISEPT;LYSOFORM;004115;05909990030866;D08AX
HYDACORN;FILOFARM;004180;05909990211616;N02CA
HYDROCORTISONUM JELFA;PHARMASWISS;004188;05909990090716;D07AA
HYDROCORTISONUM JELFA;PHARMASWISS;004191;05909990282715;H02AB
HYDROXYZINUM VP;PHARMASWISS;004202;05909990188710;N05BB
CARDONIT PROLONGATUM 80;POLFA WARSZAWA;001625;05909990182817;C01DA
CIPROBAY;BAYER;001859;05909990090129;J01MA
CLOSTILBEGYT;EGIS;001930;05909990156412;G03GB
KODEINY FOSFORAN P”£WODNY;PHARMA-COSMETIC;001952;05909990733279;R05DA
COLCHICUM DISPERT;PHARMASELECT;001973;05909990786381;M04AC
VERDIN FIX;USP ZDROWIE;000073;05907377135098;V06DX
AFRIN;BAYER;000213;05909990121212;R01AA
ANALGOL;PROFARM;000537;05909990270118;M02AX
ASPIRIN C;BAYER;000924;05909990192823;N02BA
BAYPEN;BAYER;001081;05909990088416;J01CA
BLEOMEDAC;MEDAC;001365;05909990924745;L01DC
AURUM METALLICUM;BOIRON;001445;05909997039336;V03AX
BUTAPIRAZOL;POLFA WARSZAWA;001494;05909990103713;M01BX
CALCIUM GLUCONICUM FARMAPOL;FARMAPOL;001533;05909990263219;A12AA
CARDIOGRAN;HERBAPOL £”Dè;001615;05909990005116;C01EX
NANOGY 5%;BIOMED LUBLIN;004274;05909991138981;J06BA
LOPACUT;VITABALANS;004281;05909990893973;A07DA
IMOVAX POLIO SZCZEPIONKA PRZECIW POLIOMYELITIS INAKTYWOWANA;SANOFI PASTEUR;004288;05909990050222;J07BF
DOXAZOSIN GENOPTIM;SYNOPTIS;001915;05909991288693;C02CA
CORINFAR;AWD.PHARMA;002074;05909990240418;C08CA
CORINFAR RETARD;AWD.PHARMA;002077;05909990325221;C08CA
INHIBACE;ROCHE;004312;05909990097012;C09AA
IPOREL;PHARMASWISS;004464;05909990282814;C02AC
JODYNA;AFLOFARM;004584;05909990335572;D08AG
KINDER BIOVITAL TOFFY;ROCHE;004683;05909990101412;A11AA
DEFLEGMIN;PHARMASWISS;005025;05909990867509;R05CB
LECITHIN NERVEN TONICUM;ROCHE;005047;05909990097432;A13A
CYCLOSERINE;ELI LILLY;002154;06001390107878;J04AB
DEPOSTAT;BAYER SCHERING;002331;05909990222322;G03DA
RENNIE ANTACIDUM;ICHEM/BAYER;002618;05909997218236;A02AD
DEMACYLAN;SANDOZ;002937;05909991199692;L01AA
ESBERITOX N;SCHAPER & BRUEMMER;002993;05909990013029;L03AX
APTEONATURA SZA£WIA LI∂∆;SYNOPTIS;003380;05907553014308;A01AD
LIGNOCAINUM;GLAXOSMITHKLINE, POZNA—;005130;05909990277315;N01BB
LI∂∆ SZA£WII;HERBALUX;005312;05909994357280;A01AD
LORINDEN A;PHARMASWISS;005383;05909990229512;D07XB
GLICERYNA;AVENA;003753;05909994328136;D02AX
KROPLE NASERCOWE;LABORATORIUM GALENOWE CEFARM LUBLIN;003807;05909994314313;C01AX
HUMAN ALBUMIN 5%;BAXTER;004126;05909990262410;B05AA
LORINDEN C;PHARMASWISS;005385;05909990309719;D07BB
MADOPAR 125 MG;ROCHE;005461;05909990095018;N04BA
MEPIDONT 3%;MOLTENI;005688;05909990220311;N01BB
HUMULIN L;ELI LILLY;004154;05909990245116;A10AE
WODA UTLENIONA;AVENA;004200;05909994325029;D08AX
ROZTW”R GLUKOZY 5% BAXTER;BAXTER;004337;05909990190041;B05BA
MEPIDONT 3%;MOLTENI;005689;05909990220328;N01BB
MEPIDONT 2% Z ADRENALIN• 1:100000;MOLTENI;005690;05909990220212;N01BB
METINDOL 100;GLAXOSMITHKLINE, POZNA—;005747;05909990269716;M01AB
INJECTIO GLUCOSI 5% ET NATRII CHLORATI 0,9% 2:1 BAXTER;BAXTER;004352;05909990190447;B05BB
INJECTIO SOLUTIONIS RINGERI BAXTER;BAXTER;004363;05909990191239;B05XA
IOPAMIGITA 300;INSIGHT AGENTS;004456;05909990751181;V08AB
KEFADIM;ELI LILLY;004627;05909990065318;J01DD
KINIDINESULFAAT 200 PCH;TEVA PHARMACHEMIE;004690;08711218009250;C01BA
DIANEAL PD4 (GLUKOZA 2,27%);BAXTER;004742;05909990905270;B05DB
KREM RUMIANKOWY;ZIAJA;004852;05901887000235;V07AT
LAMISILATT;DELFARMA/NOVARTIS;005003;05909997077277;D01AE
MONTANA HAUSTROPFEN;PHARMONTA;005931;05909990607013;A16AX
NATRIUM CHLORATUM 0,9% FRESENIUS;FRESENIUS KABI POLSKA;006183;05909990251056;B05XA
NATRIUM CHLORATUM 0,9% FRESENIUS;FRESENIUS KABI POLSKA;006185;05909990251025;B05XA
MAGNOSIL;ICN POLFA RZESZ”W;005494;05909990286416;A02AA
CATAFLAM 50;DELFARMA/NOVARTIS;005501;05909997201139;M01AB
APTEO CARE MA∂∆ PROPOLISOWA 7%;SYNOPTIS;005580;05907553017163;D03AX
AMLODIPINE MEDREG;MEDREG;006359;05909991212636;C08CA
OLBAS OIL;LANES;006567;05909990045921;R05X
DALACIN T;DELFARMA/PFIZER;006777;05909990504763;D10AF
PANKROSAN;HERBAPOL KRAK”W;006892;05909990195213;A16AX
METRODIN;MERCK SERONO;005763;05909990291915;G03GA
MIGRENOL;SANOFI-AVENTIS, RZESZ”W;005853;05902502301515;N02CX
MONONIT 40;SANOFI-AVENTIS, RZESZ”W;005923;05902502313211;C01DA
PARACETAMOL;GLAXOSMITHKLINE, POZNA—;006924;05900008000444;N02BE
PASTA CYNKOWA AFLOFARM;AFLOFARM;006990;05909990011735;D02AB
ACESPARGIN;FILOFARM;000061;05909990210510;N06BX
SODU CHLOREK 0,9% BAXTER;BAXTER;006175;05909990191130;B05XA
SODU CHLOREK 0,9% BAXTER;BAXTER;006177;05909990191116;B05XA
SODU SALICYLAN;AMARA;006209;05909990713301;N02BA
OSPEN 1500;SANDOZ;006668;05909990071012;J01CE
OSPOLOT 50 MG;DESITIN;006670;08767037000008;N03AX
PARAFINA CIEK£A;ELISSA;006937;05909990781577;A06AA
PASTA CYNKOWA;ZIAJA;006994;05901887106920;D02AB
PENTAERYTHRITOL FORTE;GALENA;007030;05909990329212;C01DA
PETYLYL;AWD.PHARMA;007102;05909990240715;N06AA
SYROP ACIDI E-AMINOCAPRONICI;ZIO£OLEK;000085;05909990041312;B02AA
ACNE SULF;R&C;000105;05909990273614;D10AB
ALEXAN;EBEWE;000309;05909990624935;L01BC
P£YN NAWADNIAJ•CY INTERWENCYJNY HIPOTONICZNY BAXTER;BAXTER;007276;05909990190645;B05BB
PROLUTON DEPOT;BAYER SCHERING;007549;05909990341511;G03DA
SIARCZAN PROTAMINY 1%;BIOMED WARSZAWA;007633;05909990224012;V03AB
ALGORHIN;ZIO£OLEK;000317;05909990345113;R01AX
DOSPAX FORTE;PHARMASWISS;000363;03830070740028;A03AD
ANBINEX;GRIFOLS;000635;05909990940516;B01AB
APTEO WITAMINA C 1000 MG O SMAKU CYTRYNOWYM;SYNOPTIS;007826;05907553013349;A11GA
RELANIUM;MEDANA PHARMA;007863;05909990264018;N05BA
REWODINA 25;AWD.PHARMA;007928;05909990274123;M01AB
ACENOL;GALENA;000056;05909990140237;N02BE
ADAVIN 4 MG INIEKCJE;SANDOZ;000160;05909990326112;C04AE
ALLOFERIN;ICN POLFA RZESZ”W;000336;05909990336012;M03AA
CEPHYL;BOIRON;001683;03400931875598;V03AX
CHLORPROTHIXEN ZENTIVA;ZENTIVA;001779;05909990203017;N05AF
CUSIVIRAL;ALCON CUSI;002136;05909990187911;S01AD
DEXAMETHASON WZF 0,1%;POLFA WARSZAWA;002406;05909990092314;S01BA
AMINOMEL 10 E;BAXTER;000418;05909990261826;B05BA
AMOKSIKLAV 1000 MG + 200 MG;SANDOZ;000474;05909990352913;J01CR
APO-NADOL 40;APOTEX;000751;05909990176526;C07AA
APRANAX;ROCHE;000802;05909990096015;M01AE
ATROVENT;GLAXOSMITHKLINE, POZNA—;000964;05909990054213;R03BB
BEPANTHEN LOTION;ROCHE;001154;05909990030514;D03AX
APO-NADOL 80;APOTEX;000753;05909990176625;C07AA
APO-RANITIDINE 300;APOTEX;000776;05909990305230;A02BA
TRIFLUOPERAZINE HYDROCHLORIDE TABLETS BP;AA PHARMA;000789;00660933000289;N05AB
BARIUM SULFURICUM MEDANA;MEDANA PHARMA;001066;05909990044955;V08BA
DICORTINEFF;POLFA WARSZAWA;002474;05909990243211;S03CA
DOPAMINUM HYDROCHLORICUM WZF 1%;POLFA WARSZAWA;002655;05909990125418;C01CA
ENEMA;LABORATORIUM GALENOWE OLSZTYN;002938;05909990298716;A06AG
YOMI MULTIWITAMINA;ANLIT;001677;05907604341360;A11AA
KOLODIUM;AMARA;002006;05909990060856;V07AY
NAPRITUM;VITAMA;002032;05909991292560;M01AE
CORINFAR RETARD;AWD.PHARMA;002076;05909990325214;C08CA
CYCLONAMINE 12,5%;GALENA;002146;05909990045723;B02BX
DANTROLEN;PROCTER & GAMBLE PHARMACEUTICALS;002234;05909990327416;M03CA
DENTINOX N;DELFARMA/DENTINOX;002300;05909997205144;A01AD
ASAPIRINE 150 MG;WOOLLER;002554;05909991362515;B01AC
DISTREPTAZA SK-SD;BIOMED WARSZAWA;002578;05909990019519;B01AD
CIGNODERM 0,5;SANOFI-AVENTIS, RZESZ”W;001827;05909990233014;D05AC
DOXAZOSIN GENOPTIM;SYNOPTIS;001917;05909991288716;C02CA
COFFEINUM NATRIUM BENZOICUM;GALENA;001963;05909990154319;N06BC
NAPRITUM;VITAMA;002033;05909991292539;M01AE
DUPHASTON;FORFARM/MYLAN HEALTHCARE;002741;05909997069746;G03DB
ESBERITOX N;SCHAPER & BRUEMMER;002990;05909990009633;L03AX
VOLTAREN;DELFARMA/NOVARTIS;003143;05909997066370;M01AB
VITAX HERBATKA OWOCOWA EGZOTICA;TETLEY POLSKA;003463;05900175430136;V06DX
GARGARIN;LABORATORIUM GALENOWE CEFARM LUBLIN;003534;05909990200115;R02AA
INJECTIO GLUCOSI 10% BAXTER;BAXTER;003690;05909990784684;B05BA
HOLOXAN;BAXTER;004101;05909990241125;L01AA
HUMULIN N;ELI LILLY;004170;05909990246410;A10AC
ROZTW”R GLUKOZY 20% BAXTER;BAXTER;004333;05909990190249;B05BA
ROZTW”R GLUKOZY 5% BAXTER;BAXTER;004335;05909990190034;B05BA
IOPAMIGITA 370;INSIGHT AGENTS;004462;05909990751464;V08AB
SYROP Z SULFOGWAJAKOLEM GALENA;GALENA;004600;05909990847341;R05CA
KALIUM HYPERMANGANICUM GALENA;GALENA;004605;05909990627301;D08AX
KEFZOL;ELI LILLY;004639;05909990082414;J01DB
KLIMICIN;SANDOZ;004703;05909990067527;J01FF
ISOPTIN;ABBOTT;004528;05909990100712;C08DA
KELICARDINA;HERBAPOL WROC£AW;004642;05909990014019;C01AX
KOSZYCZEK RUMIANKU;HERBAPOL WROC£AW;004830;05909994307858;A03AX
VOLTAREN EMULGEL 1%;INPHARM/GLAXOSMITHKLINE;004962;05909997217000;M02AA
LACTOVAGINAL;BIOMED KRAK”W;004984;05909990321414;G01AX
AXOFLOR;AXXON;005042;05903111375119;A07FA
LEUKERAN;INPHARM/GLAXOSMITHKLINE;005105;05909997198019;L01AA
LIPOFUNDIN MCT/LCT 20%;BRAUN;005194;05909990248018;B05BA
LIPIDEM;BRAUN;005204;05909991204044;B05BA
LUMINALUM;TEVA KRAK”W;005406;05909990114818;N03AA
LYMPHOZIL FORTE;CESRA;005423;05909990014613;V03AX
DOXAZOSIN AUROVITAS;AUROVITAS;005616;05909991305437;C02CA
FENACTIL;POLFA WARSZAWA;003157;05909990243310;N05AA
FENACTIL;POLFA WARSZAWA;003159;05909990243419;N05AA
TYLKO NATURA KORA D BU;HERBAPOL POZNA—;002095;05904490002801;D03AX
WIESIO£EK NASIONA HERBATKA EKOLOGICZNA;DARY NATURY;006125;05902741004970;C10AX
NATRIUM NITROSUM;TEVA KRAK”W;006208;05909990281619;V03AB
NEUPOGEN;AMGEN;006313;05909990312214;L03AA
CROTAMITON FARMAPOL;FARMAPOL;002121;05909990263417;P03AX
CYCLO-PROGYNOVA;BAYER;002141;05909990304219;G03FB
DEGROVIT;PHYTOPHARM DOBRZYCA;002265;05909990208814;A16AX
NILOGRIN;POLFA PABIANICE;006373;05909990170913;C04AE
NYSTATYNA TEVA;TEVA;006522;05909990114917;A07AA
OMNIPAQUE 300;GE HEALTHCARE;006621;05909990287079;V08AB
DACARBAZINE MEDAC;MEDAC;002381;04037353999916;L01AX
ZIELNIK DOZ DBAM O CUKIER W NORMIE;DOZ;002422;05900396024404;V06DX
DIABETOVIT;PHYTOPHARM DOBRZYCA;002431;05909990705924;A10BX
OMNIPAQUE 300;GE HEALTHCARE;006626;05909990287031;V08AB
OMNIPAQUE 350;GE HEALTHCARE;006630;05909990667925;V08AB
DOXAZOSIN AUROVITAS;AUROVITAS;006762;05909991305338;C02CA
PALIN;LEK;006865;05909990175611;J01MB
DIANE-35;BAYER;002438;05909990222216;G03HB
DIGOXIN WZF;POLFA WARSZAWA;002500;05909990037711;C01AA
HIZENTRA;CSL BEHRING;002923;05909990869558;J06BA
HIZENTRA;CSL BEHRING;002926;05909990869541;J06BA
EPASEL;PHARMAREX;002960;05909990033010;C10AX
ESCEVEN;HERBAPOL POZNA—;002996;05909990005918;C05CA
BEMECOR;LEK;001126;05909990174416;C01AA
BINAZIN;POLFA PABIANICE;001237;05909990232512;C02DB
CALCIUM TEVA;TEVA;001542;05909990249312;A12AA
DIANEAL PD4 (GLUKOZA 3,86%);BAXTER;004744;05909990857685;B05DB
ABAKTAL;SANDOZ;000013;05909990061716;J01MA
ALBUMINA LUDZKA 5% DO STOSOWANIA DOØYLNEGO;BIOMED WARSZAWA;000263;05909990223930;B05AA
ALBUMINA LUDZKA 5% DO STOSOWANIA DOØYLNEGO;BIOMED WARSZAWA;000264;05909990223916;B05AA
AMINOMEL NEPHRO;BAXTER;000423;05909990261710;B05BA
METOPROLOL BIOFARM ZK;BIOFARM;000752;05909990920181;C07AB
BREXIN;CHIESI;000768;05909990674848;M01AC
APO-RANITIDINE 150;APOTEX;000773;05909990305131;A02BA
APO-SULFATRIM;APOTEX;000779;05909990117925;J01EE
APO-TRIFLUOPERAZINE 2;APOTEX;000786;05909990177226;N05AB
APO-TRIFLUOPERAZINE 20;APOTEX;000794;05909990177523;N05AB
ASCOVITA;SANOFI-AVENTIS, RZESZ”W;000894;05909990158812;A11GA
BEMECOR;SANDOZ;001129;05909990174614;C01AA
BENALGIN;SANOFI-AVENTIS, RZESZ”W;001134;05909990158911;M02AA
BIODENT;ILIRIJA;001265;03838957592173;A01AA
BISACODYL VP;DELFARMA/PHARMASWISS;001316;05909997233727;A06AB
BRIETAL;ELI LILLY;001414;05909990189618;N01AF
BUER KINDER VITAMINE + EISEN + CALCIUM;ALTANA;001469;05909990179329;A11AA
CALCIUM DOBESILATE GALENA;GALENA;001520;05909990108817;C05BX
CIGNODERM 2;SANOFI-AVENTIS, RZESZ”W;001829;05909990233212;D05AC
ABAKTAL;SANDOZ;000011;05909990061815;J01MA
ALTACET;SANDOZ;000366;05909990052110;M02AX
BIOVITAL PLUS;ROCHE;001309;05909990101313;A11AA
BRONCHO-VAXOM 7 MG;OM PHARMA;001447;05909990062928;J07AX
BRONCHO-VAXOM 3,5 MG;OM PHARMA;001448;05909990043828;J07AX
AMINOMEL 12,5 E;BAXTER;000421;05909990261918;B05BA
AMITRIPTYLINUM VP;ICN POLFA RZESZ”W;000465;05909990140916;N06AA
AMOKSIKLAV 1000 MG + 200 MG;SANDOZ;000473;05909990352920;J01CR
ANTYTOKSYNA T ØCOWA BYDL CA;BIOMED WARSZAWA;000665;05909990053117;J06AA
APO-ALLOPURINOL;APOTEX;000714;05909990175932;M04AA
APO-DICLO 25;APOTEX;000733;05909990176731;M01AB
SYNTARPEN;POLFA TARCHOMIN;008890;05909990295715;J01CF
TABLETKI PRZECIW GRYPIE;CYNTFARM;008933;05909990348725;N02BA
AMPICILLIN;POLFA TARCHOMIN;000516;05909990364312;J01CA
METOPROLOL BIOFARM ZK;BIOFARM;000754;05909990920198;C07AB
APO-NAPROXEN 125;APOTEX;000755;05909990265039;M01AE
BARIUM SULFURICUM MEDANA;MEDANA PHARMA;001064;05909990044948;V08BA
APAP;US PHARMACIA;000676;05909990296033;N02BE
APAP;US PHARMACIA;000677;05909990296057;N02BE
APIS-HOMACCORD;HEEL;000706;05909990426287;V03AX
AURUMHEEL N;HEEL;000976;05909990426362;V03AX
BELLADONNA-HOMACCORD;HEEL;001104;05909990426409;V03AX
BENZACNE;TAKEDA;001143;05909990232215;D10AE
BARIUM SULFURICUM;MEDANA PHARMA;001065;05909990276516;V08BA
BETADINE;ICHEM/EGIS;001189;05909997224084;G01AX
BETAFACT 1000 IU;LFB BIOMEDICAMENTS;001248;05909990968923;B02BD
BETAFACT 250 IU;LFB BIOMEDICAMENTS;001249;05909990968893;B02BD
LECITHIN VULM;VULM;001475;08588001047634;A13A
CAPASTAT;ELI LILLY;001572;05909990088911;J04AB
DOXAZOSIN GENOPTIM;SYNOPTIS;001635;05909991288686;C02CA
ADAVIN;LEK, STRYK”W;000161;05909990332014;C04AE
ALLOFERIN;ICN POLFA RZESZ”W;000337;05909990336029;M03AA
AMITRIPTYLINUM VP;ICN POLFA RZESZ”W;000464;05909990140817;N06AA
AMOKSIKLAV 500 MG + 100 MG;SANDOZ;000477;05909990352814;J01CR
AMOKSIKLAV FORTE;SANDOZ;000480;05909990081813;J01CR
OSPAMOX 750 MG;SANDOZ;000486;05907626702477;J01CA
ANTYTOKSYNA JADU ØMIJ;BIOMED WARSZAWA;000664;05909990028610;J06AA
BIOEPICYNA;INSTYTUT BIOTECHNOLOGII I ANTYBIOTYK”W;001266;05909990129416;L01DB
BISEKO;BIOTEST;001320;05909990073924;B05AA
BUSCOPAN;BOEHRINGER INGELHEIM;001488;05909990202317;A03BB
FORTALBIA 200 MG/ML;BIOMED LUBLIN;001476;05909990991938;B05AA
CARBO ACTIV VITA;AFLOFARM;001599;05902802700094;A07BA
CITROPEPSIN;PHARMASWISS;001874;05909990282012;A09AA
CANTHARIS COMPOSITUM S;HEEL;001568;05909990426669;V03AX
CARBO COMPOSITUM;HEEL;001594;05909990426683;V03AX
CATALIN;PHARMAHEADS;001631;05909990334315;S01XA
BREXIN;CHIESI;000766;05909990674831;M01AC
APO-RANITIDINE 300;APOTEX;000778;05909990305223;A02BA
APO-TRIFLUOPERAZINE 1;APOTEX;000784;05909990177127;N05AB
CODEINUM PHOSPHORICUM;TEVA KUTNO;001950;05909990351930;R05DA
DALACIN T;DELFARMA/PFIZER;002218;05909997219394;D10AF
DICLOFENAC GSK;GLAXOSMITHKLINE, POZNA—;002451;05909990148219;M01AB
APO-TRIFLUOPERAZINE 10;APOTEX;000791;05909990177424;N05AB
WODA DO WSTRZYKIWA— BAXTER;BAXTER;000812;05909990190539;V07AB
BENALPHARM;PHARMACIA-AD;001135;05909990319916;N02BB
DORMICUM;ROCHE;002670;05909990276714;N05CD
TARDYFERON;FORFARM/PIERRE FABRE;002831;05909991256401;B03AA
NATRIUM CHLORATUM 0,9% FRESENIUS;FRESENIUS KABI POLSKA;003280;05909990218325;B05XA
BIOGLOBULINA;BIOMED WARSZAWA;001275;05909990061624;J06BA
BIBLOC;SANDOZ;001466;05909990860623;C07AB
BUERLECITHIN;ALTANA;001474;05909990179428;A13A
GAMMA ANTY-D 50;BIOMED LUBLIN;003496;05909990061112;J06BB
GAMMA GLOBULINA LUDZKA;BIOMED LUBLIN;003502;05909990072613;J06BA
GASTROTROMBINA 5000;BIOMED LUBLIN;003567;05909990019212;B02BC
CALCIUM;ICN POLFA RZESZ”W;001513;05909990166817;A12AA
DOXAZOSIN GENOPTIM;SYNOPTIS;001634;05909991288662;C02CA
PENTAERYTHRITOL COMPOSITUM;GALENA;007028;05909990329311;C01DA
CETIX;CETIX;001701;05909990048717;R01AX
CHINA-HOMACCORD S;HEEL;001730;05909990426782;V03AX
CHINA-HOMACCORD S;HEEL;001733;05909990426904;V03AX
OCULOSAN;INPHARM/THEA;001846;05909997013848;S01AX
GLUCOSUM 10% FRESENIUS;FRESENIUS KABI POLSKA;003695;05909990249961;B05BA
GLUCOSUM 5% IN NATRII CHLORATI 0,9%;FRESENIUS KABI POLSKA;003727;05909990250134;B05BB
GYNALGIN;PHARMASWISS;003808;05909990167210;G01AF
COLCHICAN;POLFARMEX;001971;05909991199432;M04AC
COLISTIN TZF;POLFA TARCHOMIN;002001;05909990366514;J01XB
DANOL-DANAZOL;SANOFI WINTHROP;002231;05909990164516;G03XA
HELASON;PHARMASWISS;003896;05909990106714;C05BA
HYDROCTIN;PHARMASWISS;004185;05909990726103;H02AB
IMOVAX POLIO SZCZEPIONKA PRZECIW POLIOMYELITIS INAKTYWOWANA;SANOFI PASTEUR;004286;05909990050215;J07BF
ISOPTIN 40;MYLAN HEALTHCARE;004530;05909990100422;C08DA
WIESIO£EK OLEOVITUM;OLEOFARM, WROC£AW;004551;05904960010480;C10AX
KEFLEX;ACTAVIS;004629;05909990070213;J01DB
GYNOMED VAGINAL ACTIVE;PROBIONOV;004702;05901874460592;G01AX
ZOPRIDOXIN;PHARMASWISS;004718;05909990914654;N05AH
RODZINA ZDROWIA DLA TWOJEJ CERY;SILESIAN PHARMA;000107;05902666651235;D10BX
DIANEAL PD4 (GLUKOZA 1,36%);BAXTER;007264;05909990905232;B05DB
PROZAC;ELI LILLY;007664;05909990189717;N06AB
PYRIDOXINE-DARNITSA;DARNITSA;007728;04823006400522;A11HA
ALLERGOVIT A+B 015 TRAWY/ZBOØA 80% + 106 BYLICA POSPOLITA 20%;ALLERGOPHARMA;000328;05909990001316;V01AA
APHTIN;MICROFARM;000684;05909990223817;A01AB
ARGOSULFAN;PHARMASWISS;000846;05909990237319;D06BA
VITAX REGULAVIT 3 O SMAKU TRUSKAWKOWYM;TETLEY POLSKA;007846;05900175450479;A06AX
VITAX REGULACTIVE 2 MAX;TETLEY POLSKA;007847;05902806064635;A06AX
SALOFALK;FALK;008181;05909991134990;A07EC
ATECORTIN;PHARMASWISS;000946;05909990124718;S03CA
BETASERC;MYLAN HEALTHCARE;001209;05909990370528;N07CA
FORTALBIA 200 MG/ML;BIOMED LUBLIN;001477;05909990991945;B05AA
SINECOD;PHARMAVITAE/GLAXOSMITHKLINE;008419;05909997213460;R05DB
SOLCOSERYL;ICN POLFA RZESZ”W;008482;05909990207213;D03AX
SORBONIT PROLONGATUM 40;LEK, STRYK”W;008536;05909990282418;C01DA
BUTAPIRAZOL;GLAXOSMITHKLINE, POZNA—;001496;05909990142910;M02AA
CAPTOPRIL JELFA;PHARMASWISS;001585;05909990673407;C09AA
CAPTOPRIL JELFA;PHARMASWISS;001586;05909990673452;C09AA
SPIRYTUS MR”WCZANY;LABORATORIUM GALENOWE CEFARM LUBLIN;008574;05909994341418;M02AX
STAVERAN 80;MEDANA PHARMA;008653;05909990045327;C08DA
THIOPENTAL;SANDOZ;009115;05909990054510;N01AF
ACOREN;WOOLLER;009145;05909991362454;B01AC
ACOREN;WOOLLER;009147;05909991362478;B01AC
NALEWKA Z KWIATU ARNIKI;AMARA;009175;05909990657179;M02AX
CIRCULOVIS 3;HERBAVIS;001806;05901549598315;C05CX
NIESTRAWNO∂∆ 7;HERBAVIS;001807;05901549598711;C05CX
COD LIVER OIL;POWER HEALTH;001948;05909990287710;A11CB
ANAVENOL;LECIVA;000576;05909990203215;C04AE
ZIELNIK APTECZNY KOSZYCZEK RUMIANKU;HERBAPOL LUBLIN;000615;05909990027682;A03AX
ANUSOL;GOEDECKE;000671;05909990204915;C05AX
CODEINUM PHOSPHORICUM;TEVA KUTNO;001951;05909990351923;R05DA
DERMOSAN UV 9;GLAXOSMITHKLINE, POZNA—;002350;05900008000482;V07AT
DICLOFENAC GSK;GLAXOSMITHKLINE, POZNA—;002450;05909990148110;M01AB
DICUNO;VITABALANS;002454;05909990937394;M01AB
DISULONE;SPECIA;002582;03400930325612;J04BA
PIROXICAM;GLAXOSMITHKLINE, POZNA—;007202;05909990208715;M02AA
P£YN BUROWA;AFLOFARM;007256;05909994376212;M02AX
AMPRES;MOLTENI;007381;05909991001681;N01BA
POZITAN;GLAXOSMITHKLINE, POZNA—;007446;05909990149414;R06AX
PROMAZIN JELFA;PHARMASWISS;007552;05909990108015;N05AA
PROPYPHENAZONUM 100;GLAXOSMITHKLINE, POZNA—;007593;05909990274215;N02BB
PROSTAPOL;HERBAPOL KRAK”W;007600;05909990047529;G04BX
PSORISAN 20%;R&C;007672;05909990305513;D05AA
PUMPKIN SEED OIL;POWER HEALTH;007699;05909990043514;G04CX
PYRALGINUM;GLAXOSMITHKLINE, POZNA—;007711;05909990340415;N02BB
RELANIUM;GLAXOSMITHKLINE, POZNA—;007858;05909990149513;N05BA
RIVANOLUM VP;PHARMASWISS;007990;05909990052424;D08AA
RIVOTRIL;ROCHE;007994;05909990095513;N03AE
SMECTA;IPSEN;008467;05909990053827;A07BC
SPIRYTUS KAMFOROWY AFLOFARM;AFLOFARM;008591;05909990220526;M02AX
SPIRYTUS SALICYLOWY AFLOFARM;AFLOFARM;008620;05909990011551;D08AX
THERALENE;THERAPLIX;009103;03400931053088;R06AD
TINCTURA CRATAEGI HERBAPOL W KRAKOWIE SA;HERBAPOL KRAK”W;009185;05909990080816;C01EX
TROMBINA 400;BIOMED LUBLIN;009372;05909990019410;B02BC
ESTRACYT;PHARMACIA;003023;05909990037018;L01XX
FARLUTAL 500;PHARMACIA;003125;05909990156023;L02AB
FENACTIL;POLFA WARSZAWA;003160;05909990243426;N05AA
GLUKOZA JEDNOWODNA;PHARMA-COSMETIC;003745;05909990813032;V06DC
HEPARINUM;POLFA WARSZAWA;003948;05909990302215;B01AB
INJ. ADRENALINI 0,1%;POLFA WARSZAWA;004327;05909990182527;C01CA
TRESIBA FLEXTOUCH;NOVO NORDISK;004373;05909991107864;A10AE
KETOTIFEN WZF;POLFA WARSZAWA;004668;05909990092512;R06AX
KLIMONORM;BAYER;004706;05909990059737;G03FB
OWOC KOPRU;PHYTOPHARM DOBRZYCA;004747;05900175447233;A03AX
LOCOID LIPOCREAM;LEO;005340;05909990191529;D07AA
LOMUSTINUM;INSTYTUT FARMACEUTYCZNY;005354;05909990362226;L01AD
MAGNE-B6;BLAU FARMA/SANOFI-AVENTIS;005470;05909997013541;A11JB
MATERNA;LEDERLE;005607;05909990035328;A11AA
MATERNA;LEDERLE;005608;05909990035311;A11AA
LI∂∆ MELISY PHYTOPHARM;PHYTOPHARM DOBRZYCA;005647;05909990052363;N05CM
